Timestamp,PhaseA_Current,PhaseB_Current,PhaseC_Current,Power_Consumption,Power_Factor,Vibration,Temp,Speed,Health_Status,RUL
2025-09-04 23:57:21.787839,9.095,10.329,9.221,5.84,0.883,0.445,42.898,1502.3,Normal,906.0
2025-09-04 23:57:22.787839,10.329,10.327,10.569,6.36,0.882,0.364,45.674,1494.5,Normal,906.0
2025-09-04 23:57:23.787839,10.162,10.215,8.987,5.99,0.883,0.491,45.257,1499.3,Normal,906.0
2025-09-04 23:57:24.787839,9.684,10.846,10.805,6.37,0.881,0.368,43.42,1496.7,Normal,906.0
2025-09-04 23:57:25.787839,9.422,9.807,9.872,5.92,0.882,0.277,45.121,1508.6,Normal,906.0
2025-09-04 23:57:26.787839,10.169,9.813,10.184,6.15,0.882,0.277,43.195,1497.0,Normal,906.0
2025-09-04 23:57:27.787839,9.766,9.67,10.531,6.1,0.881,0.442,43.528,1495.5,Normal,906.0
2025-09-04 23:57:28.787839,10.395,11.22,9.699,6.38,0.882,0.359,44.007,1491.7,Normal,906.0
2025-09-04 23:57:29.787839,9.712,10.767,10.299,6.27,0.882,0.393,43.386,1496.9,Normal,906.0
2025-09-04 23:57:30.787839,9.787,9.698,9.488,5.89,0.881,0.438,44.424,1500.4,Normal,906.0
2025-09-04 23:57:31.787839,10.554,9.398,9.68,6.02,0.88,0.434,44.796,1503.3,Normal,906.0
2025-09-04 23:57:32.787839,9.486,9.901,10.219,6.02,0.88,0.356,43.006,1496.8,Normal,906.0
2025-09-04 23:57:33.787839,9.272,10.035,10.208,6.0,0.88,0.483,44.083,1503.5,Normal,906.0
2025-09-04 23:57:34.787839,9.533,10.127,10.181,6.07,0.881,0.408,43.307,1499.8,Normal,906.0
2025-09-04 23:57:35.787839,10.121,9.231,10.739,6.12,0.88,0.406,44.192,1498.5,Normal,906.0
2025-09-04 23:57:36.787839,10.956,9.63,9.961,6.22,0.881,0.347,44.209,1500.5,Normal,906.0
2025-09-04 23:57:37.787839,10.076,10.608,10.804,6.41,0.881,0.352,43.554,1504.3,Normal,906.0
2025-09-04 23:57:38.787839,9.564,10.306,10.03,6.09,0.881,0.392,43.885,1500.2,Normal,906.0
2025-09-04 23:57:39.787839,9.586,9.651,10.302,6.0,0.88,0.345,44.072,1496.7,Normal,906.0
2025-09-04 23:57:40.787839,10.205,10.484,10.366,6.31,0.879,0.395,43.521,1501.3,Normal,906.0
2025-09-04 23:57:41.787839,9.133,10.489,9.747,5.96,0.879,0.476,42.828,1501.2,Normal,906.0
2025-09-04 23:57:42.787839,9.059,11.112,10.105,6.15,0.88,0.424,44.543,1499.4,Normal,906.0
2025-09-04 23:57:43.787839,10.098,9.892,9.274,5.95,0.881,0.435,44.538,1503.1,Normal,906.0
2025-09-04 23:57:44.787839,10.442,9.663,10.054,6.14,0.881,0.342,44.505,1493.1,Normal,906.0
2025-09-04 23:57:45.787839,10.455,9.926,10.035,6.2,0.882,0.388,43.305,1501.1,Normal,906.0
2025-09-04 23:57:46.787839,10.173,10.463,10.269,6.3,0.883,0.353,43.837,1502.4,Normal,906.0
2025-09-04 23:57:47.787839,10.598,9.373,9.938,6.1,0.883,0.483,42.859,1495.7,Normal,906.0
2025-09-04 23:57:48.787839,9.906,10.002,10.893,6.29,0.884,0.384,45.46,1495.6,Normal,906.0
2025-09-04 23:57:49.787839,9.811,10.019,9.151,5.92,0.884,0.369,43.07,1503.0,Normal,906.0
2025-09-04 23:57:50.787839,9.974,10.664,9.412,6.14,0.885,0.398,44.876,1503.5,Normal,906.0
2025-09-04 23:57:51.787839,10.148,9.731,9.522,6.01,0.885,0.404,43.457,1504.1,Normal,906.0
2025-09-04 23:57:52.787839,11.945,9.927,9.98,6.52,0.886,0.404,44.212,1497.9,Normal,906.0
2025-09-04 23:57:53.787839,9.902,10.261,9.61,6.09,0.886,0.481,43.82,1500.6,Normal,906.0
2025-09-04 23:57:54.787839,10.09,9.692,9.414,5.96,0.885,0.384,43.73,1501.0,Normal,906.0
2025-09-04 23:57:55.787839,10.869,9.602,9.748,6.18,0.886,0.366,44.285,1494.9,Normal,906.0
2025-09-04 23:57:56.787839,10.277,10.936,9.264,6.24,0.887,0.415,43.614,1500.5,Normal,906.0
2025-09-04 23:57:57.787839,9.16,10.279,10.182,6.07,0.887,0.334,42.871,1500.4,Normal,906.0
2025-09-04 23:57:58.787839,10.86,10.608,10.153,6.48,0.888,0.527,43.884,1502.2,Normal,906.0
2025-09-04 23:57:59.787839,10.162,10.363,9.366,6.13,0.887,0.474,44.78,1498.3,Normal,906.0
2025-09-04 23:58:00.787839,8.581,9.941,10.435,5.93,0.887,0.475,44.012,1503.8,Normal,906.0
2025-09-04 23:58:01.787839,9.797,9.697,9.333,5.9,0.886,0.452,43.342,1500.2,Normal,906.0
2025-09-04 23:58:02.787839,9.64,9.718,9.73,5.95,0.886,0.403,45.936,1505.1,Normal,906.0
2025-09-04 23:58:03.787839,9.763,9.633,10.113,6.04,0.886,0.38,44.006,1502.2,Normal,906.0
2025-09-04 23:58:04.787839,9.982,9.635,10.033,6.06,0.885,0.394,43.405,1500.8,Normal,906.0
2025-09-04 23:58:05.787839,10.361,9.61,9.219,5.95,0.883,0.521,45.504,1496.5,Normal,906.0
2025-09-04 23:58:06.787839,10.634,10.39,10.223,6.37,0.882,0.395,42.788,1496.0,Normal,906.0
2025-09-04 23:58:07.787839,10.652,9.52,9.976,6.14,0.881,0.389,43.347,1504.8,Normal,906.0
2025-09-04 23:58:08.787839,10.801,10.696,10.947,6.61,0.883,0.399,44.715,1502.6,Normal,906.0
2025-09-04 23:58:09.787839,9.9,10.377,10.297,6.22,0.881,0.439,43.336,1499.1,Normal,906.0
2025-09-04 23:58:10.787839,8.955,10.336,10.735,6.11,0.881,0.227,44.511,1498.7,Normal,906.0
2025-09-04 23:58:11.787839,8.749,10.119,9.529,5.77,0.88,0.425,44.601,1500.7,Normal,906.0
2025-09-04 23:58:12.787839,10.387,10.208,9.211,6.06,0.88,0.286,45.448,1496.0,Normal,906.0
2025-09-04 23:58:13.787839,9.97,9.789,10.663,6.18,0.88,0.444,44.744,1498.6,Normal,906.0
2025-09-04 23:58:14.787839,10.749,9.578,10.174,6.2,0.88,0.307,43.679,1501.8,Normal,906.0
2025-09-04 23:58:15.787839,10.232,9.778,10.914,6.29,0.881,0.35,43.484,1502.2,Normal,906.0
2025-09-04 23:58:16.787839,9.123,9.344,10.562,5.89,0.878,0.291,43.261,1498.9,Normal,906.0
2025-09-04 23:58:17.787839,9.698,10.229,10.534,6.19,0.88,0.485,43.218,1504.8,Normal,906.0
2025-09-04 23:58:18.787839,10.214,9.501,10.228,6.09,0.881,0.429,44.276,1503.1,Normal,906.0
2025-09-04 23:58:19.787839,9.443,10.326,9.572,5.97,0.88,0.494,42.756,1497.7,Normal,906.0
2025-09-04 23:58:20.787839,10.753,10.34,9.495,6.22,0.881,0.519,44.113,1496.2,Normal,906.0
2025-09-04 23:58:21.787839,9.78,10.13,8.987,5.89,0.882,0.429,42.65,1501.8,Normal,906.0
