Model,MAE,RMSE,R2_Score
RandomForest,20.2529555000027,39.163572723748665,0.9302317938091754
GradientBoosting,20.262955477497307,38.40608549539086,0.9329045549111938
DecisionTree,26.05246000000104,53.00380595768572,0.8722070015445907
LinearRegression,30.41932958686686,43.9968485401603,0.9119486359302129
Ridge,30.39374602173704,43.99604656911261,0.9119518458874466
Lasso,29.45510679770174,44.817399174565786,0.9086336554412543
SVR,23.044477549437726,39.76047650581002,0.9280888704500554
KNN,20.703851999999998,40.26035960793197,0.9262693183702261
DL_LSTM,62.370225369873026,110.76344455818037,0.4419336252263534
DL_GRU,61.805838198242164,110.94744570372048,0.44007795627137525
DL_CNN,63.43318559448242,114.66450358084191,0.40193148492305286
