Model,MAE,RMSE,R2_Score
RandomForest,3.7926531000000017,28.887453018245647,0.9441485773376197
GradientBoosting,4.311195515958514,28.396683424019262,0.9460301792867282
DecisionTree,4.8337,43.123216276154544,0.875537641949216
LinearRegression,51.19988321505455,85.7225228807238,0.5081806357298524
Ridge,52.2227015436814,86.65033335678409,0.49747669031753305
Lasso,54.686561778318186,88.81987519714063,0.4719974099289339
SVR,22.35817969786095,103.00335714355519,0.28990166368381987
KNN,5.518535999999999,33.747953042518,0.9237726875615389
DL_LSTM,44.45023176818847,115.54072050835038,0.10651785397823865
DL_GRU,43.93024875432014,93.96470483563452,0.4090574750180779
DL_CNN,51.08497509765625,131.37578209582736,-0.15517123146510436
